run_accession	study_accession	sample_accession	experiment_accession	scientific_name	library_name	library_strategy	read_count	first_public	last_updated	sample_alias
ERR329723	PRJEB1934	SAMEA2173039	ERX302702	mouse skin metagenome	unspecified	AMPLICON	5548	2013-09-06	2018-11-16	624
ERR329724	PRJEB1934	SAMEA2173040	ERX302703	mouse skin metagenome	unspecified	AMPLICON	4576	2013-09-06	2018-11-16	625
ERR329725	PRJEB1934	SAMEA2173041	ERX302704	mouse skin metagenome	unspecified	AMPLICON	3721	2013-09-06	2018-11-16	626
ERR329726	PRJEB1934	SAMEA2173042	ERX302705	mouse skin metagenome	unspecified	AMPLICON	5856	2013-09-06	2018-11-16	627
ERR329727	PRJEB1934	SAMEA2173043	ERX302706	mouse skin metagenome	unspecified	AMPLICON	8527	2013-09-06	2018-11-16	629
ERR329728	PRJEB1934	SAMEA2173044	ERX302707	mouse skin metagenome	unspecified	AMPLICON	4207	2013-09-06	2018-11-16	630
ERR329729	PRJEB1934	SAMEA2173045	ERX302708	mouse skin metagenome	unspecified	AMPLICON	7138	2013-09-06	2018-11-16	635
ERR329730	PRJEB1934	SAMEA2173046	ERX302709	mouse skin metagenome	unspecified	AMPLICON	4582	2013-09-06	2018-11-16	636
ERR329731	PRJEB1934	SAMEA2173047	ERX302710	mouse skin metagenome	unspecified	AMPLICON	7835	2013-09-06	2018-11-16	637
ERR329732	PRJEB1934	SAMEA2173048	ERX302711	mouse skin metagenome	unspecified	AMPLICON	3748	2013-09-06	2018-11-16	638
ERR329733	PRJEB1934	SAMEA2173049	ERX302712	mouse skin metagenome	unspecified	AMPLICON	3810	2013-09-06	2018-11-16	639
ERR329734	PRJEB1934	SAMEA2173050	ERX302713	mouse skin metagenome	unspecified	AMPLICON	3373	2013-09-06	2018-11-16	640
ERR329735	PRJEB1934	SAMEA2173051	ERX302714	mouse skin metagenome	unspecified	AMPLICON	5875	2013-09-06	2018-11-16	641
ERR329736	PRJEB1934	SAMEA2173052	ERX302715	mouse skin metagenome	unspecified	AMPLICON	4853	2013-09-06	2018-11-16	642
ERR329737	PRJEB1934	SAMEA2173053	ERX302716	mouse skin metagenome	unspecified	AMPLICON	3925	2013-09-06	2018-11-16	647
ERR329738	PRJEB1934	SAMEA2173054	ERX302717	mouse skin metagenome	unspecified	AMPLICON	3342	2013-09-06	2018-11-16	648
ERR329739	PRJEB1934	SAMEA2173055	ERX302718	mouse skin metagenome	unspecified	AMPLICON	3459	2013-09-06	2018-11-16	649
ERR329740	PRJEB1934	SAMEA2173056	ERX302719	mouse skin metagenome	unspecified	AMPLICON	2557	2013-09-06	2018-11-16	650
ERR329741	PRJEB1934	SAMEA2173057	ERX302720	mouse skin metagenome	unspecified	AMPLICON	4137	2013-09-06	2018-11-16	651
ERR329742	PRJEB1934	SAMEA2173058	ERX302721	mouse skin metagenome	unspecified	AMPLICON	4805	2013-09-06	2018-11-16	652
ERR329743	PRJEB1934	SAMEA2173059	ERX302722	mouse skin metagenome	unspecified	AMPLICON	6431	2013-09-06	2018-11-16	653
ERR329744	PRJEB1934	SAMEA2173060	ERX302723	mouse skin metagenome	unspecified	AMPLICON	5050	2013-09-06	2018-11-16	654
ERR329745	PRJEB1934	SAMEA2173061	ERX302724	mouse skin metagenome	unspecified	AMPLICON	4341	2013-09-06	2018-11-16	655
ERR329746	PRJEB1934	SAMEA2173062	ERX302725	mouse skin metagenome	unspecified	AMPLICON	6505	2013-09-06	2018-11-16	656
ERR329747	PRJEB1934	SAMEA2173063	ERX302726	mouse skin metagenome	unspecified	AMPLICON	5246	2013-09-06	2018-11-16	659
ERR329748	PRJEB1934	SAMEA2173064	ERX302727	mouse skin metagenome	unspecified	AMPLICON	6816	2013-09-06	2018-11-16	660
ERR329749	PRJEB1934	SAMEA2173065	ERX302728	mouse skin metagenome	unspecified	AMPLICON	9161	2013-09-06	2018-11-16	661
ERR329750	PRJEB1934	SAMEA2173066	ERX302729	mouse skin metagenome	unspecified	AMPLICON	7151	2013-09-06	2018-11-16	662
ERR329751	PRJEB1934	SAMEA2173067	ERX302730	mouse skin metagenome	unspecified	AMPLICON	6588	2013-09-06	2018-11-16	663
ERR329752	PRJEB1934	SAMEA2173068	ERX302731	mouse skin metagenome	unspecified	AMPLICON	5330	2013-09-06	2018-11-16	665
ERR329753	PRJEB1934	SAMEA2173069	ERX302732	mouse skin metagenome	unspecified	AMPLICON	7463	2013-09-06	2018-11-16	671
ERR329754	PRJEB1934	SAMEA2173070	ERX302733	mouse skin metagenome	unspecified	AMPLICON	6785	2013-09-06	2018-11-16	672
ERR329755	PRJEB1934	SAMEA2173071	ERX302734	mouse skin metagenome	unspecified	AMPLICON	7120	2013-09-06	2018-11-16	673
ERR329756	PRJEB1934	SAMEA2173072	ERX302735	mouse skin metagenome	unspecified	AMPLICON	10744	2013-09-06	2018-11-16	675
ERR329757	PRJEB1934	SAMEA2173073	ERX302736	mouse skin metagenome	unspecified	AMPLICON	10664	2013-09-06	2018-11-16	676
ERR329758	PRJEB1934	SAMEA2173074	ERX302737	mouse skin metagenome	unspecified	AMPLICON	11029	2013-09-06	2018-11-16	677
ERR329759	PRJEB1934	SAMEA2173075	ERX302738	mouse skin metagenome	unspecified	AMPLICON	11465	2013-09-06	2018-11-16	678
ERR329760	PRJEB1934	SAMEA2173076	ERX302739	mouse skin metagenome	unspecified	AMPLICON	13763	2013-09-06	2018-11-16	679
ERR329761	PRJEB1934	SAMEA2173077	ERX302740	mouse skin metagenome	unspecified	AMPLICON	4675	2013-09-06	2018-11-16	681
ERR329762	PRJEB1934	SAMEA2173078	ERX302741	mouse skin metagenome	unspecified	AMPLICON	4713	2013-09-06	2018-11-16	682
ERR329763	PRJEB1934	SAMEA2173079	ERX302742	mouse skin metagenome	unspecified	AMPLICON	5147	2013-09-06	2018-11-16	683
ERR329764	PRJEB1934	SAMEA2173080	ERX302743	mouse skin metagenome	unspecified	AMPLICON	4235	2013-09-06	2018-11-16	684
ERR329765	PRJEB1934	SAMEA2173081	ERX302744	mouse skin metagenome	unspecified	AMPLICON	5445	2013-09-06	2018-11-16	685
ERR329766	PRJEB1934	SAMEA2173082	ERX302745	mouse skin metagenome	unspecified	AMPLICON	6611	2013-09-06	2018-11-16	686
ERR329767	PRJEB1934	SAMEA2173083	ERX302746	mouse skin metagenome	unspecified	AMPLICON	10571	2013-09-06	2018-11-16	687
ERR329768	PRJEB1934	SAMEA2173084	ERX302747	mouse skin metagenome	unspecified	AMPLICON	5843	2013-09-06	2018-11-16	688
ERR329769	PRJEB1934	SAMEA2173085	ERX302748	mouse skin metagenome	unspecified	AMPLICON	4928	2013-09-06	2018-11-16	689
ERR329770	PRJEB1934	SAMEA2173086	ERX302749	mouse skin metagenome	unspecified	AMPLICON	4564	2013-09-06	2018-11-16	690
ERR329771	PRJEB1934	SAMEA2173087	ERX302750	mouse skin metagenome	unspecified	AMPLICON	5869	2013-09-06	2018-11-16	691
ERR329772	PRJEB1934	SAMEA2173088	ERX302751	mouse skin metagenome	unspecified	AMPLICON	7075	2013-09-06	2018-11-16	692
ERR329773	PRJEB1934	SAMEA2173089	ERX302752	mouse skin metagenome	unspecified	AMPLICON	5632	2013-09-06	2018-11-16	694
ERR329774	PRJEB1934	SAMEA2173090	ERX302753	mouse skin metagenome	unspecified	AMPLICON	6990	2013-09-06	2018-11-16	695
ERR329775	PRJEB1934	SAMEA2173091	ERX302754	mouse skin metagenome	unspecified	AMPLICON	7528	2013-09-06	2018-11-16	696
ERR329776	PRJEB1934	SAMEA2173092	ERX302755	mouse skin metagenome	unspecified	AMPLICON	5901	2013-09-06	2018-11-16	697
ERR329777	PRJEB1934	SAMEA2173093	ERX302756	mouse skin metagenome	unspecified	AMPLICON	5594	2013-09-06	2018-11-16	698
ERR329778	PRJEB1934	SAMEA2173094	ERX302757	mouse skin metagenome	unspecified	AMPLICON	6194	2013-09-06	2018-11-16	699
ERR329779	PRJEB1934	SAMEA2173095	ERX302758	mouse skin metagenome	unspecified	AMPLICON	4913	2013-09-06	2018-11-16	700
ERR329780	PRJEB1934	SAMEA2173096	ERX302759	mouse skin metagenome	unspecified	AMPLICON	7855	2013-09-06	2018-11-16	701
ERR329781	PRJEB1934	SAMEA2173097	ERX302760	mouse skin metagenome	unspecified	AMPLICON	3294	2013-09-06	2018-11-16	399-run1
ERR329782	PRJEB1934	SAMEA2173098	ERX302761	mouse skin metagenome	unspecified	AMPLICON	10804	2013-09-06	2018-11-16	399-run2
ERR329783	PRJEB1934	SAMEA2173099	ERX302762	mouse skin metagenome	unspecified	AMPLICON	3597	2013-09-06	2018-11-16	400-run1
ERR329784	PRJEB1934	SAMEA2173100	ERX302763	mouse skin metagenome	unspecified	AMPLICON	3952	2013-09-06	2018-11-16	400-run2
ERR329785	PRJEB1934	SAMEA2173101	ERX302764	mouse skin metagenome	unspecified	AMPLICON	2995	2013-09-06	2018-11-16	401-run1
ERR329786	PRJEB1934	SAMEA2173102	ERX302765	mouse skin metagenome	unspecified	AMPLICON	8662	2013-09-06	2018-11-16	401-run2
ERR329787	PRJEB1934	SAMEA2173103	ERX302766	mouse skin metagenome	unspecified	AMPLICON	4689	2013-09-06	2018-11-16	402-run1
ERR329788	PRJEB1934	SAMEA2173104	ERX302767	mouse skin metagenome	unspecified	AMPLICON	1399	2013-09-06	2018-11-16	402-run2
ERR329789	PRJEB1934	SAMEA2173105	ERX302768	mouse skin metagenome	unspecified	AMPLICON	5400	2013-09-06	2018-11-16	403-run1
ERR329790	PRJEB1934	SAMEA2173106	ERX302769	mouse skin metagenome	unspecified	AMPLICON	3972	2013-09-06	2018-11-16	403-run2
